Sample in Buffer,Sample in Window,TRIGGER,rx_axis_tdata[63:0],rx_axis_tvalid,rx_axis_tlast[7:0],rx_axis_tsof[1:0],rx_axis_tterm[4:0],rx_axis_terr,rx_axis_tpre[7:0],stat_gtf_rx_block_lock
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000021,0,00,0,00,0,00,1
1,1,0,0000000000000021,0,00,0,00,0,00,1
2,2,0,0000000000000021,0,00,0,00,0,00,1
3,3,0,0000000000000021,0,00,0,00,0,00,1
4,4,0,0000000000000021,0,00,0,00,0,00,1
5,5,0,0000000000000021,0,00,0,00,0,00,1
6,6,0,0000000000000021,0,00,0,00,0,00,1
7,7,0,0000000000000021,0,00,0,00,0,00,1
8,8,0,0000000000000021,0,00,0,00,0,00,1
9,9,0,0000000000000021,0,00,0,00,0,00,1
10,10,0,0000000000000021,0,00,0,00,0,00,1
11,11,0,0000000000000021,0,00,0,00,0,00,1
12,12,0,0000000000000021,0,00,0,00,0,00,1
13,13,0,0000000000000021,0,00,0,00,0,00,1
14,14,0,0000000000000021,0,00,0,00,0,00,1
15,15,0,0000000000000021,0,00,0,00,0,00,1
16,16,0,0000000000000021,0,00,0,00,0,00,1
17,17,0,0000000000000021,0,00,0,00,0,00,1
18,18,0,0000000000000021,0,00,0,00,0,00,1
19,19,0,0000000000000021,0,00,0,00,0,00,1
20,20,0,0000000000000021,0,00,0,00,0,00,1
21,21,0,0000000000000021,0,00,0,00,0,00,1
22,22,0,0000000000000021,0,00,0,00,0,00,1
23,23,0,0000000000000021,0,00,0,00,0,00,1
24,24,0,0000000000000021,0,00,0,00,0,00,1
25,25,0,0000000000000021,0,00,0,00,0,00,1
26,26,0,0000000000000021,0,00,0,00,0,00,1
27,27,0,0000000000000021,0,00,0,00,0,00,1
28,28,0,0000000000000021,0,00,0,00,0,00,1
29,29,0,0000000000000021,0,00,0,00,0,00,1
30,30,0,0000000000000021,0,00,0,00,0,00,1
31,31,0,0000000000000021,0,00,0,00,0,00,1
32,32,0,0000000000000021,0,00,0,00,0,00,1
33,33,0,0000000000000021,0,00,0,00,0,00,1
34,34,0,0000000000000021,0,00,0,00,0,00,1
35,35,0,0000000000000021,0,00,0,00,0,00,1
36,36,0,0000000000000021,0,00,0,00,0,00,1
37,37,0,0000000000000021,0,00,0,00,0,00,1
38,38,0,0000000000000021,0,00,0,00,0,00,1
39,39,0,0000000000000021,0,00,0,00,0,00,1
40,40,0,0000000000000021,0,00,0,00,0,00,1
41,41,0,0000000000000021,0,00,0,00,0,00,1
42,42,0,0000000000000021,0,00,0,00,0,00,1
43,43,0,0000000000000021,0,00,0,00,0,00,1
44,44,0,0000000000000021,0,00,0,00,0,00,1
45,45,0,0000000000000021,0,00,0,00,0,00,1
46,46,0,0000000000000021,0,00,0,00,0,00,1
47,47,0,0000000000000021,0,00,0,00,0,00,1
48,48,0,0000000000000021,0,00,0,00,0,00,1
49,49,0,0000000000000021,0,00,0,00,0,00,1
50,50,0,0000000000000021,0,00,0,00,0,00,1
51,51,0,0000000000000021,0,00,0,00,0,00,1
52,52,0,0000000000000021,0,00,0,00,0,00,1
53,53,0,0000000000000021,0,00,0,00,0,00,1
54,54,0,0000000000000021,0,00,0,00,0,00,1
55,55,0,0000000000000021,0,00,0,00,0,00,1
56,56,0,0000000000000021,0,00,0,00,0,00,1
57,57,0,0000000000000021,0,00,0,00,0,00,1
58,58,0,0000000000000021,0,00,0,00,0,00,1
59,59,0,0000000000000021,0,00,0,00,0,00,1
60,60,0,0000000000000021,0,00,0,00,0,00,1
61,61,0,0000000000000021,0,00,0,00,0,00,1
62,62,0,0000000000000021,0,00,0,00,0,00,1
63,63,0,0000000000000021,0,00,0,00,0,00,1
64,64,0,0000000000000021,0,00,0,00,0,00,1
65,65,0,0000000000000021,0,00,0,00,0,00,1
66,66,0,0000000000000021,0,00,0,00,0,00,1
67,67,0,0000000000000021,0,00,0,00,0,00,1
68,68,0,0000000000000021,0,00,0,00,0,00,1
69,69,0,0000000000000021,0,00,0,00,0,00,1
70,70,0,0000000000000021,0,00,0,00,0,00,1
71,71,0,0000000000000021,0,00,0,00,0,00,1
72,72,0,0000000000000021,0,00,0,00,0,00,1
73,73,0,0000000000000021,0,00,0,00,0,00,1
74,74,0,0000000000000021,0,00,0,00,0,00,1
75,75,0,0000000000000021,0,00,0,00,0,00,1
76,76,0,0000000000000021,0,00,0,00,0,00,1
77,77,0,0000000000000021,0,00,0,00,0,00,1
78,78,0,0000000000000021,0,00,0,00,0,00,1
79,79,0,0000000000000021,0,00,0,00,0,00,1
80,80,0,0000000000000021,0,00,0,00,0,00,1
81,81,0,0000000000000021,0,00,0,00,0,00,1
82,82,0,0000000000000021,0,00,0,00,0,00,1
83,83,0,0000000000000021,0,00,0,00,0,00,1
84,84,0,0000000000000021,0,00,0,00,0,00,1
85,85,0,0000000000000021,0,00,0,00,0,00,1
86,86,0,0000000000000021,0,00,0,00,0,00,1
87,87,0,0000000000000021,0,00,0,00,0,00,1
88,88,0,0000000000000021,0,00,0,00,0,00,1
89,89,0,0000000000000021,0,00,0,00,0,00,1
90,90,0,0000000000000021,0,00,0,00,0,00,1
91,91,0,0000000000000021,0,00,0,00,0,00,1
92,92,0,0000000000000021,0,00,0,00,0,00,1
93,93,0,0000000000000021,0,00,0,00,0,00,1
94,94,0,0000000000000021,0,00,0,00,0,00,1
95,95,0,0000000000000021,0,00,0,00,0,00,1
96,96,0,0000000000000021,0,00,0,00,0,00,1
97,97,0,0000000000000021,0,00,0,00,0,00,1
98,98,0,0000000000000021,0,00,0,00,0,00,1
99,99,0,0000000000000021,0,00,0,00,0,00,1
100,100,0,0000000000000021,0,00,0,00,0,00,1
101,101,0,0000000000000021,0,00,0,00,0,00,1
102,102,0,0000000000000021,0,00,0,00,0,00,1
103,103,0,0000000000000021,0,00,0,00,0,00,1
104,104,0,0000000000000021,0,00,0,00,0,00,1
105,105,0,0000000000000021,0,00,0,00,0,00,1
106,106,0,0000000000000021,0,00,0,00,0,00,1
107,107,0,0000000000000021,0,00,0,00,0,00,1
108,108,0,0000000000000021,0,00,0,00,0,00,1
109,109,0,0000000000000021,0,00,0,00,0,00,1
110,110,0,0000000000000021,0,00,0,00,0,00,1
111,111,0,0000000000000021,0,00,0,00,0,00,1
112,112,0,0000000000000021,0,00,0,00,0,00,1
113,113,0,0000000000000021,0,00,0,00,0,00,1
114,114,0,0000000000000021,0,00,0,00,0,00,1
115,115,0,0000000000000021,0,00,0,00,0,00,1
116,116,0,0000000000000021,0,00,0,00,0,00,1
117,117,0,0000000000000021,0,00,0,00,0,00,1
118,118,0,0000000000000021,0,00,0,00,0,00,1
119,119,0,0000000000000021,0,00,0,00,0,00,1
120,120,0,0000000000000021,0,00,0,00,0,00,1
121,121,0,0000000000000021,0,00,0,00,0,00,1
122,122,0,0000000000000021,0,00,0,00,0,00,1
123,123,0,0000000000000021,0,00,0,00,0,00,1
124,124,0,0000000000000021,0,00,0,00,0,00,1
125,125,0,0000000000000021,0,00,0,00,0,00,1
126,126,0,0000000000000021,0,00,0,00,0,00,1
127,127,0,0000000000000021,0,00,0,00,0,00,1
128,128,0,0000000000000021,0,00,0,00,0,00,1
129,129,0,0000000000000021,0,00,0,00,0,00,1
130,130,0,0000000000000021,0,00,0,00,0,00,1
131,131,0,0000000000000021,0,00,0,00,0,00,1
132,132,0,0000000000000021,0,00,0,00,0,00,1
133,133,0,0000000000000021,0,00,0,00,0,00,1
134,134,0,0000000000000021,0,00,0,00,0,00,1
135,135,0,0000000000000021,0,00,0,00,0,00,1
136,136,0,0000000000000021,0,00,0,00,0,00,1
137,137,0,0000000000000021,0,00,0,00,0,00,1
138,138,0,0000000000000021,0,00,0,00,0,00,1
139,139,0,0000000000000021,0,00,0,00,0,00,1
140,140,0,0000000000000021,0,00,0,00,0,00,1
141,141,0,0000000000000021,0,00,0,00,0,00,1
142,142,0,0000000000000021,0,00,0,00,0,00,1
143,143,0,0000000000000021,0,00,0,00,0,00,1
144,144,0,0000000000000021,0,00,0,00,0,00,1
145,145,0,0000000000000021,0,00,0,00,0,00,1
146,146,0,0000000000000021,0,00,0,00,0,00,1
147,147,0,0000000000000021,0,00,0,00,0,00,1
148,148,0,0000000000000021,0,00,0,00,0,00,1
149,149,0,0000000000000021,0,00,0,00,0,00,1
150,150,0,0000000000000021,0,00,0,00,0,00,1
151,151,0,0000000000000021,0,00,0,00,0,00,1
152,152,0,0000000000000021,0,00,0,00,0,00,1
153,153,0,0000000000000021,0,00,0,00,0,00,1
154,154,0,0000000000000021,0,00,0,00,0,00,1
155,155,0,0000000000000021,0,00,0,00,0,00,1
156,156,0,0000000000000021,0,00,0,00,0,00,1
157,157,0,0000000000000021,0,00,0,00,0,00,1
158,158,0,0000000000000021,0,00,0,00,0,00,1
159,159,0,0000000000000021,0,00,0,00,0,00,1
160,160,0,0000000000000021,0,00,0,00,0,00,1
161,161,0,0000000000000021,0,00,0,00,0,00,1
162,162,0,0000000000000021,0,00,0,00,0,00,1
163,163,0,0000000000000021,0,00,0,00,0,00,1
164,164,0,0000000000000021,0,00,0,00,0,00,1
165,165,0,0000000000000021,0,00,0,00,0,00,1
166,166,0,0000000000000021,0,00,0,00,0,00,1
167,167,0,0000000000000021,0,00,0,00,0,00,1
168,168,0,0000000000000021,0,00,0,00,0,00,1
169,169,0,0000000000000021,0,00,0,00,0,00,1
170,170,0,0000000000000021,0,00,0,00,0,00,1
171,171,0,0000000000000021,0,00,0,00,0,00,1
